bait,bait_uniprot,prey_gene,prey_uniprot
FOXD4L1,,CARD9,
FOXD4L1,,CCDC57,
FOXD4L1,,CYSRT1,
FOXD4L1,,DAZAP2,
FOXD4L1,,EXOSC8,
FOXD4L1,,HGS,
FOXD4L1,,HMG20A,
FOXD4L1,,HNRNPK,
FOXD4L1,,KRT34,
FOXD4L1,,KRTAP12-2,
FOXD4L1,,KRTAP6-2,
FOXD4L1,,KRTAP6-3,
FOXD4L1,,MAPRE3,
FOXD4L1,,MDFI,
FOXD4L1,,PRDM6,
FOXD4L1,,PSME3,
FOXD4L1,,RBPMS2,
FOXD4L1,,TRIP6,
FOXD4L1,,WWOX,
FOXJ1,,RFX2,
GAPDHS,,ZMYND19,
GATA3,,CYSRT1,
GATA3,,KRTAP12-1,
GATA3,,KRTAP13-2,
GATA3,,KRTAP6-2,
GATA3,,KRTAP6-3,
GATA3,,PLEKHG4,
GIP,,SGTB,
GNB3,,CIDEB,
GNG4,,FHL2,
GORASP2,,ACY3,
GORASP2,,ALKBH4,
GORASP2,,APIP,
GORASP2,,ARHGEF15,
GORASP2,,ASMTL,
GORASP2,,ATP6V1G1,
GORASP2,,BTBD3,
GORASP2,,C1orf94,
GORASP2,,CARHSP1,
GORASP2,,CBLB,
GORASP2,,CBY1,
GORASP2,,CCDC90B,
GORASP2,,CDA,
GORASP2,,CDC23,
GORASP2,,CDK18,
GORASP2,,CDKN2D,
GORASP2,,CEP76,
GORASP2,,CGGBP1,
GORASP2,,CHMP1A,
GORASP2,,CNTNAP2,
GORASP2,,CRYAA,
GORASP2,,CRYAB,
GORASP2,,DCTD,
GORASP2,,DMC1,
GORASP2,,DNAJB13,
GORASP2,,DPYSL2,
GORASP2,,DUSP21,
GORASP2,,DUSP4,
GORASP2,,DYRK3,
GORASP2,,ECHDC1,
GORASP2,,EIF2B1,
GORASP2,,EMILIN3,
GORASP2,,ETHE1,
GORASP2,,EURL,
GORASP2,,FIG4,
GORASP2,,GABPB2,
GORASP2,,GNG7,
GORASP2,,GNGT1,
